numeric_id_1,numeric_id_2
145281,98343
145281,58736
145281,157118
145281,125430
145281,89631
113417,98343
113417,123861
1679,98343
1679,58736
1679,157118
1679,125430
1679,495
1679,89631
1679,123861
89631,98343
89631,141493
89631,58736
89631,140703
89631,151401
89631,157118
89631,125430
89631,3635
89631,495
89631,116648
89631,123861
89631,95914
89631,3181
89631,155127
140703,98343
140703,58736
140703,157118
140703,151401
140703,125430
98343,141493
98343,58736
98343,151401
98343,157118
98343,125430
98343,3635
98343,495
98343,116648
98343,123861
98343,10408
98343,3181
98343,40675
98343,95914
98343,155127
116648,141493
116648,495
116648,155127
95914,495
3635,58736
3635,157118
3635,125430
3635,155127
141493,495
141493,123861
141493,151401
141493,157118
141493,125430
157118,58736
157118,151401
157118,3181
157118,125430
123861,125430
40675,495
151401,58736
151401,125430
3181,125430
495,125430
58736,125430
