views,mature,life_time,created_at,updated_at,numeric_id,dead_account,language,affiliate
7048,0,1990,2013-05-01,2018-10-12,495,0,EN,1
56645,1,1774,2013-11-30,2018-10-09,1679,0,EN,1
3306,1,2591,2011-09-07,2018-10-11,1966,0,EN,0
2496926,0,1911,2013-07-19,2018-10-12,3181,0,EN,0
278129,0,1748,2013-12-29,2018-10-12,3635,0,EN,0
1769,0,1392,2014-12-20,2018-10-12,5587,0,EN,1
2697,0,1973,2013-05-06,2018-09-30,8216,0,ZH,0
5570823,0,1703,2014-02-12,2018-10-12,9068,0,EN,0
12056,1,887,2016-04-25,2018-09-29,10372,0,EN,1
57349,0,949,2016-03-07,2018-10-12,10408,0,EN,1
4173928,1,2682,2011-06-09,2018-10-12,16783,0,EN,0
1952,0,1894,2013-08-01,2018-10-08,17048,0,EN,0
680788,1,1731,2014-01-15,2018-10-12,17293,0,EN,0
2615,1,2296,2012-06-29,2018-10-12,18259,0,EN,0
14142,0,2747,2011-04-03,2018-10-10,24321,0,EN,1
1708,1,1675,2014-03-11,2018-10-11,30061,0,EN,0
286483,0,1696,2014-02-19,2018-10-12,30520,0,EN,0
19646,0,2105,2013-01-05,2018-10-11,34043,0,EN,1
4831,1,2249,2012-08-13,2018-10-10,34817,0,EN,0
1129,0,2302,2012-06-19,2018-10-08,36837,0,EN,0
4569,0,1699,2014-02-16,2018-10-12,37182,0,EN,1
1604600,1,3474,2009-04-08,2018-10-12,40675,0,EN,0
65005,1,2592,2011-09-07,2018-10-12,41764,0,EN,1
1400,0,1014,2016-01-02,2018-10-12,42097,0,EN,1
6215,1,1822,2013-10-15,2018-10-11,44326,0,EN,1
165414,1,1731,2014-01-15,2018-10-12,48850,0,EN,1
1174,0,2070,2013-01-05,2018-09-06,49634,0,EN,0
9211,0,1867,2013-09-01,2018-10-12,50129,0,EN,1
2250,1,1906,2013-06-29,2018-09-17,50511,0,EN,1
546234,1,3387,2009-07-04,2018-10-12,52154,0,EN,0
1110,0,1388,2014-12-24,2018-10-12,53279,0,EN,0
2472,1,1298,2013-10-05,2017-04-25,54013,1,OTHER,0
264524,1,2813,2011-01-23,2018-10-06,54230,0,EN,1
2374,1,1881,2013-07-21,2018-09-14,54848,0,EN,0
111,1,819,2016-06-06,2018-09-03,55012,0,OTHER,0
72048,0,2104,2013-01-07,2018-10-12,58736,0,EN,1
8208846,1,2505,2011-12-03,2018-10-12,59892,0,EN,0
4384,0,1415,2014-11-17,2018-10-02,60384,0,EN,1
1351,1,1871,2013-08-28,2018-10-12,62841,0,EN,1
487264,0,316,2017-11-30,2018-10-12,63150,0,EN,0
240718261,1,2516,2011-11-22,2018-10-12,64605,0,EN,0
14743,0,2012,2013-04-09,2018-10-12,65788,0,EN,0
5112,0,1586,2014-06-09,2018-10-12,66786,0,EN,0
2715654,0,3823,2008-04-24,2018-10-12,66893,0,EN,0
4744,0,2287,2012-07-08,2018-10-12,73017,0,EN,1
2320,1,2412,2012-02-07,2018-09-15,73900,0,EN,0
4523991,0,2501,2011-12-07,2018-10-12,75403,0,EN,0
12402139,1,3668,2008-09-26,2018-10-12,78899,0,EN,0
137470,1,1808,2013-10-30,2018-10-12,79010,0,EN,0
4257,0,456,2017-07-10,2018-10-09,79768,0,EN,0
15019409,0,2450,2012-01-27,2018-10-12,80986,0,EN,0
216,1,1009,2015-11-10,2018-08-15,83757,0,EN,0
184,0,227,2018-02-18,2018-10-03,84392,0,EN,0
807,0,1299,2015-03-23,2018-10-12,87129,0,EN,0
1049,0,1438,2014-11-04,2018-10-12,87479,0,EN,1
84789,1,3877,2008-02-29,2018-10-11,87516,0,EN,1
35163,1,2455,2012-01-22,2018-10-12,89631,0,EN,1
108644,0,3555,2009-01-15,2018-10-10,90148,0,EN,0
4829628,0,4005,2007-10-25,2018-10-12,90697,0,EN,1
3849,1,696,2016-11-13,2018-10-10,91680,0,EN,1
197145,1,2141,2012-11-25,2018-10-06,95697,0,EN,0
